"HPI for Three-Digit ZIP Codes (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,
,,,,,,
"* These annual ZIP3 indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. As discussed in the Working Paper 16-01, in cases where sample sizes are small for the three-digit ZIP Code area, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect the native three-digit ZIP index, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the first three digits of the ZIP code, Column B is the year, Column C is the annual change, Column D is the index value with a base of 100 when first recorded, Column E is the index value with a base of 100 in 1990, and Column F is the index value with a base of 100 in 2000. If a ZIP3 HPI has a missing value in Column D in 1990 or 2000 then the ZIP3 HPI will have blank values in Column E or F, respectively.",,,,,,
"** For tracking and feedback purposes, please cite Working Paper 16-01 when using these data. A suggested form is: Bogin, A., Doerner, W. and Larson, W. (2016). Local House Price Dynamics: New Indices and Stylized Facts. Federal Housing Finance Agency, Working Paper 16-01. The working paper is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,
"Last updated: February 23, 2017.",,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,
Three-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
010,1975,.,100.00,23.35,21.89,
010,1976,7.39,107.39,25.07,23.51,
010,1977,5.44,113.23,26.44,24.79,
010,1978,8.19,122.51,28.60,26.82,
010,1979,16.44,142.65,33.31,31.23,
010,1980,12.69,160.75,37.53,35.19,
010,1981,6.22,170.74,39.86,37.38,
010,1982,13.81,194.31,45.37,42.54,
010,1983,5.57,205.13,47.89,44.91,
010,1984,15.36,236.64,55.25,51.81,
010,1985,12.08,265.23,61.93,58.07,
010,1986,14.58,303.91,70.96,66.53,
010,1987,21.31,368.67,86.08,80.71,
010,1988,15.64,426.32,99.54,93.33,
010,1989,2.64,437.59,102.17,95.80,
010,1990,-2.12,428.31,100.00,93.77,
010,1991,-3.38,413.84,96.62,90.60,
010,1992,-2.07,405.28,94.62,88.73,
010,1993,-1.47,399.33,93.23,87.43,
010,1994,-1.29,394.18,92.03,86.30,
010,1995,-0.55,392.01,91.52,85.82,
010,1996,1.57,398.15,92.96,87.17,
010,1997,1.26,403.16,94.13,88.26,
010,1998,2.56,413.47,96.53,90.52,
010,1999,3.53,428.06,99.94,93.72,
010,2000,6.71,456.77,106.64,100.00,
010,2001,6.48,486.36,113.55,106.48,
010,2002,8.66,528.45,123.38,115.69,
010,2003,7.46,567.85,132.58,124.32,
010,2004,12.54,639.06,149.21,139.91,
010,2005,12.93,721.68,168.50,158.00,
010,2006,4.81,756.37,176.60,165.59,
010,2007,0.54,760.47,177.55,166.49,
010,2008,-3.18,736.33,171.92,161.20,
010,2009,-4.18,705.57,164.73,154.47,
010,2010,-2.16,690.35,161.18,151.14,
010,2011,-2.82,670.85,156.63,146.87,
010,2012,-2.05,657.11,153.42,143.86,
010,2013,-0.17,655.99,153.16,143.62,
010,2014,1.14,663.45,154.90,145.25,
010,2015,1.85,675.72,157.77,147.94,
010,2016,1.80,687.85,160.60,150.59,
011,1975,.,100.00,19.52,20.90,
011,1976,20.56,120.56,23.53,25.20,
011,1977,-0.42,120.06,23.44,25.10,
011,1978,12.73,135.34,26.42,28.29,
011,1979,16.29,157.38,30.72,32.90,
011,1980,10.39,173.74,33.91,36.32,
011,1981,13.72,197.57,38.57,41.30,
011,1982,11.02,219.34,42.82,45.85,
011,1983,8.31,237.56,46.37,49.66,
011,1984,16.29,276.26,53.93,57.75,
011,1985,17.28,324.00,63.25,67.73,
011,1986,15.70,374.87,73.18,78.36,
011,1987,19.16,446.70,87.20,93.38,
011,1988,13.89,508.74,99.31,106.35,
011,1989,4.43,531.25,103.70,111.05,
011,1990,-3.57,512.29,100.00,107.09,
